Package name,Reviewer name,Review,Rating
pt.cosmicode.guessup,bella,Downloaded this game on a chance and it was SO MUCH FUN! It had a whole group of us (older and younger) belly laughing! Our favourite categories were sounds and objects. The only thing is that the video (of other players) would work even when camera permissions were allowed.,4
pt.cosmicode.guessup,Chenifa Tankwi,I don't like that there isn't any option to change the language into Dutch. Now I can't play with my younger siblings because their English is not that good😒.,3
pt.cosmicode.guessup,Jenica Wilcox,Lots of ads and interruptions even when you've paid for content,1
pt.cosmicode.guessup,Eugenio Eduardo,It's fun because you can play offline with you friends or families,5
pt.cosmicode.guessup,Jeffrey Lor,"Yes I'm a real person and not a bot, but I just downloaded this game fully expecting to play it with family and friends but once I started loading it up, it froze. I reset the game twice and it still doesn't work. Dissatisfied and disappointed.",1
pt.cosmicode.guessup,L Y,Really good app. only froze once but my kids enjoyed it.,5
pt.cosmicode.guessup,Lesego Seiphoro,It is nice and has nice questions Problem you have to purchase some other box's,3
pt.cosmicode.guessup,A Google user,So the game keeps on stopping for some reason and its soo annoying and also for a tablet like Im using its not like a celphone. When I use my phone I have to turn my phone up for pass and down for correct but if I use my tablet I have to click left for pass and right for correct.Soo umm its still pretty good to play but this mite happen to you to soo be carful ok.,4
pt.cosmicode.guessup,A Google user,Downloaded specifically for the create your own mode (Wanted to make one for The Office lol) but it's really annoying that I can't scroll down to see all the words I added in. I can see about 3 rows worth of words but after that I can't see any new ones,3
pt.cosmicode.guessup,Arianna Cavagnoli,"Cute and funny but certain translations (in Italian) need to be fixed. Either they're the literal translation, that don't make sense, or they're left in other languages.",3
pt.cosmicode.guessup,Yasmine Ali,"Are you kidding me? THE BEST HEADS UP GAME EVER, I love it, 1000x better than charades or heads up but one problem.. there are not so many topics or options I already finished all and don't have something new, the new ones are with money and it is a risk for what could happen after you pay and would be a waste of money please add more topics or options Thank you😘 Please reply back",5
pt.cosmicode.guessup,Ifra,very good but you should also add some Indian movies also in movie,3
pt.cosmicode.guessup,Zaida Speelman,"Loving the vibe, just played it with my brother and his girl, and we was just vibing with it😍🥰",5
pt.cosmicode.guessup,ᴊ ᴀ s ᴍ ɪ ɴ ᴇ,"I love this app so much I have a lot of fun with it but the problem is, there's no Arabic option in the languages which makes me unable to play with a lot of my friends :( I'd be very happy if you could add Arabic but other than that everything about this game is adorable.",4
pt.cosmicode.guessup,Lesego Shopane,Me and my classmates absolutely love this game even apart that you have to pay for other decks. But it is a good quality and fun game.,5
pt.cosmicode.guessup,A Google user,"5 stars for the game, but for this recent update, the game keeps restarting! Likely because of the Google Play account since it works fine on my previous phone, but keeps crashing on my new phone after connecting to Google Play. Please fix this!",5
pt.cosmicode.guessup,Joe Gulley,"Way better than heads up, but occasionally freezes for a few seconds, repeats a lot, and the team score didn't properly show the winner",3
pt.cosmicode.guessup,A Google user,I went from 135 coins to 100 coins without spending any of them...I was enjoying the game but if it can steal coins randomly then there is something wrong...please customer support contact me to resolve issue Also it asked me to log in through gmail i connected and now it won't anymore,1
pt.cosmicode.guessup,Anshika Tewari,Hey..so smthing useful i FOUND...like is an awesome aap honestly telling.! If there r certains things which u wanna play nd they r not available you can compose them on your own..also there is no prblem in clicking pass or CORRECT...no wifi needed nd best part no ads...i m deeply in love with this cuz its so much of fu...i suggest you to kindly use it cuz its not only worth trying but also keeping it in ur phone forever..to the creators its awesome nd thnkyou for ur such an awesome contribution❤,5
pt.cosmicode.guessup,Rob Ostrander,The mechanics of tipping the phone to pass or say correct or way too sensitive and don't work and it's just really annoying so I uninstalled the game.,1
pt.cosmicode.guessup,A Google user,"This is a pretty good game but can you make a option to change language to South-East languages like Malaysia, Singapore, Indonesia and more? Thank you.",5
pt.cosmicode.guessup,A Google user,"I'm sorry, this is just really boring, answers that are wrong are still correct, I was on Christmas and it was asking if cupid was related, I accidently pressed yes and it said it was correct, please work on this, its really annoying, and please let me know when you have fixed it, Then I'll redownload it and most likely give it 5 stars, thanks for reading this.",1
pt.cosmicode.guessup,A Google user,The game is extraordinarly enjoyable! There are so many categories to choose from and it is super fun to play! The fact that you can make your own category is just mind blowing!,5
pt.cosmicode.guessup,A Google user,Guess up is a fantastic Charades game with a variety of fun as well as tough categories some of which you have to buy.It is a very interesting game and is very enjoyable.This always brings people to come together and laugh.,5
pt.cosmicode.guessup,Shreya Harikumar,We couldn't even play the game it was a blank white screen showing up with a random song .I guess this app is overrated nothing compared to shown hope you will do something about this,1
pt.cosmicode.guessup,A Google user,"Thank you for this , hopefully please consider to have the export database. This app is really Funny and Enjoyable. Please add a export data features. God bless.",4
pt.cosmicode.guessup,The Gum Under The Table,"Asks for way too much personal information. If you care, take the time to quickly skim through the Privacy Policy. They probably just want your info to sell to other companies. I understand there is certain data-sharing you cant avoid in this day and age but yeesh.",1
pt.cosmicode.guessup,Naga Madhuri G,very good for partys,4
pt.cosmicode.guessup,ENinja35 Gamer,Not working on my phone or my cousina phone. Really disappointing because it was working fine before and I really enjoyed playing it.,1
pt.cosmicode.guessup,Sunita Godara,Hi guess up 👏you crested an amazing app for playing when my internet was not working app was not getting download I think it would not be a nice game but when I played the game my phone was not going out of my hand amazing app I like the animals one the most Good job you guys Keep it up,5
pt.cosmicode.guessup,Cl Bri,too many ads already,2
pt.cosmicode.guessup,A Google user,"I had bought 2 categories the 1st time I downloaded this game, got a new phone had to repurchase them again.. ok! 🤷🏽‍♀️ but NOW those categories are LOCKED again even when I saved and transfered my data?!! 😤",2
pt.cosmicode.guessup,Jannecke Pedersen,"Greeeat, super fun and one of my favorite things to do with friends!! Love the fact that there is a camera option to film it!! 💖💖💖💖😍😍💗😄",5
pt.cosmicode.guessup,Neelam Neelam,really interesting app can play with friends,5
pt.cosmicode.guessup,Rohan Buntval,"Game crashes on open, unusable. Unacceptable for an app that I've put money into. Edit- it's all working now.",5
pt.cosmicode.guessup,Joseph Rodriguez,Ads make it unusable,1
pt.cosmicode.guessup,Sena Ntuli,Excellent game to ay with Family and friends,5
pt.cosmicode.guessup,Mbear19D,WAY TOO MANY ADS,1
pt.cosmicode.guessup,Chad Kreiser,2 for constant ads,2
pt.cosmicode.guessup,Tlhalefang Dibetso,nice but too much ads,4
pt.cosmicode.guessup,Little Masters,it's fun to play with our friends and family members 🆒🆒🆒,5
pt.cosmicode.guessup,Zivai Rupondo,The game uses an intenet connection and that sucks!!,1
pt.cosmicode.guessup,KING OF DOGS 22,good just ads,5
pt.cosmicode.guessup,Justin & Jenny Krohn,It's fun but if you move it a millimeter back it will count it as correct and then the results will be inaccurate,1
pt.cosmicode.guessup,Ali Alsaeedy,This game is trash,5
pt.cosmicode.guessup,A Google user,Good fun. Can be a little UK / USA centric would be cool to add categories for other places.,5
pt.cosmicode.guessup,Hammer Chu,"Simple but kind of fun, some catagories are more challenging than i thought.",4
pt.cosmicode.guessup,Marie Fuentes,It is fun but it is confusing when you tilt it up and down. All games are the same so yeah.,3
pt.cosmicode.guessup,Daania Farooqui,It is an awesome game for playing with family and friends other guess up games ask for money but this one is totally free I love this app i recommend you to download this for passing your time💜💜💜,5
pt.cosmicode.guessup,kierstin terrell,It is very slow and when I tried to do it with my kids it would say something like we didn't put the camera down or up and it would answer it for us.,1
pt.cosmicode.guessup,A Google user,"3☆ Edited:Hi Cosmicode Hope you re-reply. Actually the game is damn good and i want you to plz plz add this feature , A chat button and challenging unknown people from over the world.",3
pt.cosmicode.guessup,A Google user,Rubbish how it works with coins. No difficulty levels to chose. Impossible for kids.,1
pt.cosmicode.guessup,A Google user,Great game for the whole family. I never buy games but this I paid for after a short while playing.,5
pt.cosmicode.guessup,A Google user,Basically if your not from America. Most categories are a hard pass.,3
pt.cosmicode.guessup,Vasile Butuza,"Good game but I changed my phone and now the packages that I bought are unavailable, even though I was logged in with google play. Thieves.",2
pt.cosmicode.guessup,A Google user,Ads too intrusive and word lists repeat themselves too often.,2
pt.cosmicode.guessup,A Google user,"I love this game it's amazing!I have started playing this game with my sister , friends and family.it's really nice game.Also,it works without internet!",5
pt.cosmicode.guessup,A Google user,Installed. Opened it. The screen is frozen with loading symbol on top. I tried 3 times.,1
pt.cosmicode.guessup,Ashley Villers,Love it. Better than headsup. Only thing is the repeating words.,4
pt.cosmicode.guessup,A Google user,It's a good game although it suddenly stopped working for some unknown reason. Plz fix it,3
pt.cosmicode.guessup,A Google user,I have tried out several different apps like this and this is my favorite for custom decks. Great options for that,5
pt.cosmicode.guessup,A Google user,It was a wonderful experience great game everyone should try it best game to play with family n friends,5
pt.cosmicode.guessup,Rohan Buntval,Keeps crashing on open. Not acceptable for an app that I put money into.,1
pt.cosmicode.guessup,Khi Hicks,The game doesn't even let us get a chance too say anything it just automatically says correct it's not very needed so I gave a 2 star,2
pt.cosmicode.guessup,Barnabas Yeoh,It's a great app to use for English teachers to play with their students!,5
pt.cosmicode.guessup,A Google user,not really good when it says ''turn fone vertically to continue'' it didn't work properly... very disappointing😔sorry guys,1
pt.cosmicode.guessup,A Google user,Best of the heads up type games imo because of the level of difficulty of the clues,5
pt.cosmicode.guessup,A Google user,"It's very fun, educational and you get great laughs out of it thanks cosmicode!",5
pt.cosmicode.guessup,Jeafanie T,"its fun but when changing the topic, it said to tilt up or down but it doesn't work.",3
pt.cosmicode.guessup,A Google user,hello i have played this gane in my other phone and now i have a new one but in my new phone when you first download it when it says flip down for good or whatever it just stays there freezed up idk how i can fix it :c,4
pt.cosmicode.guessup,Frankie Gibson,If it wasnt for the adverts after every game I would rate it more.,2
pt.cosmicode.guessup,Samantha,Won't let me play since its stuck on the screen that says lift up to pass. Nothing works,1
pt.cosmicode.guessup,Dana Oconnor,Bought additional decks to play and wasn't able to access them.,1
pt.cosmicode.guessup,Adetola Adebowale,SUPERB Even a 99stars won't be enough although if i can get the premium for free u got 100stars,4
pt.cosmicode.guessup,Pravallika Sree,I am having so much fun and it very helpful to learn English and different languages thank you,5
pt.cosmicode.guessup,stella yuninda,"Why??? What happen with this game please fix this game, too many error and always stoping in the middle game.",5
pt.cosmicode.guessup,Anne Zoller,"Hi, I have bought 3 categories last year, I still have the confirmation email and it is mentioned in my history. But I cannot find them on the game anymore. Can you help me ?",5
pt.cosmicode.guessup,A Google user,It fun when u are waiting in line for something with your friends.,4
pt.cosmicode.guessup,•Mia•,I like this game its pretty good I enjoy and have fun with this app with my family but please take the ads away I will really appreciate that thank you like this app you better install it!,5
pt.cosmicode.guessup,Sonia Podder,It's so fun itsss very cool it's like I could play forever! Good like a god your the best game maker then anyone!,5
pt.cosmicode.guessup,A Google user,"This game is amazing, but I can't see videos to win prizes...",3
pt.cosmicode.guessup,George Williams,Took money for a Christmas pack but still gives me adverts. That's theft. Avoid.,1
pt.cosmicode.guessup,Sharifah Syazana,I played with my family and we laughed throughout the game! Great bonding game! Love it!😁😃🥰,5
pt.cosmicode.guessup,Meenal Singh,when i swipe up it goes correct when i swipe down it goes pass not really what i expected 😕 😡,2
pt.cosmicode.guessup,Roberta Muccioli,"Easy to use, fun, great for learning languages",5
pt.cosmicode.guessup,Mike Schmitz,Last update continuously crashes on my phone... Grr!!,1
pt.cosmicode.guessup,A Google user,Much better response and better categories than heads up. Great alternative and my main go to,5
pt.cosmicode.guessup,The Three Froggies,ads keep popping up. not Proprietary for kids. too hard,1
pt.cosmicode.guessup,mohsina babar ali,"Fun family game l,loved it.....but very hard for asian families.",4
pt.cosmicode.guessup,Ahlona J,Super fun game and tons of fun with family and friends.,5
pt.cosmicode.guessup,Areeba A,The in-app purchases are not visible even after repeat payments!,1
pt.cosmicode.guessup,A Google user,"Great app, but please fix video recording on Android Pie !",3
pt.cosmicode.guessup,Wilmyr Porras,It very nice and fun but the video thing lags i really love this game please fix,4
pt.cosmicode.guessup,Buhle Mlaba,"No glitching or twitching, best family and friends game by far.",5
pt.cosmicode.guessup,Nancy Cardin,Guessup - word party cha .. info account Nancy Cardin54. Rate this app work the best yes. work on not off Name Guy skip friend boy,5
pt.cosmicode.guessup,A Google user,wanted to use it for my german kits. this language is missing. so unplayable,2
pt.cosmicode.guessup,James Frazier,I've played less annoying gotcha games. They didn't even try to make it good.,1
pt.cosmicode.guessup,Laxmirani Mishra,It's very easy for kids and it's lovely to play in lockdown 🤗,5
pt.cosmicode.guessup,Punk Taker,The app frequently freezes after some time and becomes unusable,2
pt.cosmicode.guessup,A Google user,Great like Damsharas it's enjoyable and very nice and for time pass it's great I play with my mom and dad they feel fun,5
pt.cosmicode.guessup,Jamie Bain,Good for any age - simple cues but fun enough,4
pt.cosmicode.guessup,anucha Kingsley,I think it's a very fun game to play when ur around friends ......I love this game it's amazing,5
pt.cosmicode.guessup,Scott Price,the free option has too many commercials,3
pt.cosmicode.guessup,A Google user,the videos doesn't show up and can't download them,2
pt.cosmicode.guessup,Nick Sparks,Constantly crashes upon opening on Pixel 4xl on Android 11.,1
pt.cosmicode.guessup,A Google user,It stuck in the tutorial. My phone doest tilt.,3
pt.cosmicode.guessup,Perpetual Sunset,"Has lots of good packs, really easy to use",5
pt.cosmicode.guessup,Fazni Bin Harni,"This Game/App Is So Fun! I Play This With My Friends,Cousins, And Family! I Recommend To Download!",5
pt.cosmicode.guessup,A Google user,its great (except for the adds) me and my family are playing this every chance we get,5
pt.cosmicode.guessup,kristen gurucharri,to hard and Does not explain,3
pt.cosmicode.guessup,V Ayvazian,"too few questions, ad after every game annoying",1
pt.cosmicode.guessup,Izabella,"Don't get this app, it only gives a little time to do stuff and it names things that people can't even act out",1
pt.cosmicode.guessup,Declan Gray,Too many ads And not enough free decks,1
pt.cosmicode.guessup,Zainab Charfare,The best game for parties and to play with families!..,5
pt.cosmicode.guessup,Gaurri Bharadwaj,This is the worsttt! game i have ever seen nothing is working or understood,1
pt.cosmicode.guessup,A Google user,👍👍👍 I love the fact that you can make your own categories.👍👏 Could you please make more games??🙂,5
pt.cosmicode.guessup,A Google user,Thanks for the fix! Works again.,5
pt.cosmicode.guessup,Krishna Reddy,good game no ads evn thou not premium a lott of choices than other apps,5
pt.cosmicode.guessup,Ashura Iluvham Rahman,its to hard for kids but its fun,3
pt.cosmicode.guessup,A Google user,i was playing whit my cousin and it youst starded to send me notifications and it glitched my phone not recommended in the hole university really bad,1
pt.cosmicode.guessup,A Google user,I love this game it made me and my family play something fun. Thank you .☺😊,5
pt.cosmicode.guessup,A Google user,It crashes every time I try to open it.,2
pt.cosmicode.guessup,Daniel,Great app. It's fun to play with your friends and family I love it,5
pt.cosmicode.guessup,A Google user,It don't change when i tilt it to the next screen.,1
pt.cosmicode.guessup,Ntokozo kekana,It's nice but if we could get South African history to the desk it would be nicer,4
pt.cosmicode.guessup,Avi Aryan,"Looks good, but has ads",4
pt.cosmicode.guessup,Jesse Robson,Love it! My fam play this and it's so much fun!!!!!!,5
pt.cosmicode.guessup,Katherine Green,This is an amazing game to play when you are waiting in a line.,4
pt.cosmicode.guessup,A Google user,it wonderful easy to use recommend everyone to dowload,5
pt.cosmicode.guessup,Vasco Ferreira,Love this game! 🤩 So funny and user-friendly!,5
pt.cosmicode.guessup,A Google user,it a good that you can play with family or friends anybody I love it,5
pt.cosmicode.guessup,Adam Garnham,Loading fun.....forever.... Never actually loads 😬,2
pt.cosmicode.guessup,A Google user,not nice so boring it's only for American and other countries,2
pt.cosmicode.guessup,A Google user,Excellent app and support! :D,5
pt.cosmicode.guessup,Tracey Pretty,too many ads,2
pt.cosmicode.guessup,manisha patil,These is a nice game but please keep guess up kids free,5
pt.cosmicode.guessup,Raymond Saliba,Lots of fun with family and friends,5
pt.cosmicode.guessup,kvin games,Nice and easy to play,5
pt.cosmicode.guessup,DENISE GOMEZ,It has no BIBLE CHARADES. It is very disappointing 😞.,1
pt.cosmicode.guessup,anne_black1437,"Very nice game, just had the biggest laugh of my life with my brother 😂",5
pt.cosmicode.guessup,BarefootRunner83,super fun to play with bored kids at dinner,5
pt.cosmicode.guessup,A Google user,"Fluid, high resolution, fun! Kudos to the devs",5
pt.cosmicode.guessup,PAMMI KUMARI,Very nice app but add more level,5
pt.cosmicode.guessup,nora nabil,Great game 🎉🎊 i had so much fun with my sister when we played it,5
pt.cosmicode.guessup,A Google user,Fun game! Lots of categories.,5
pt.cosmicode.guessup,Mari Borges,AMAZING I love having fun with my wife and our family with this game,5
pt.cosmicode.guessup,Rachel Farley,"Works well but considering it says family and we selected ""animals"" and it gives animals like Gnat and Nightingale.. what 8 year old knows what a nightingale is?",1
pt.cosmicode.guessup,Jan Campbell,They should add more subjects but its not acttualy that bad so that is why i give this game a 4/5👍,4
pt.cosmicode.guessup,Roberta L,The controls are terrible,1
pt.cosmicode.guessup,Saba Adnan,This game is too good but please add more games thank you,3
pt.cosmicode.guessup,Jeannie Beth Aquino,stuck on loading screen,1
pt.cosmicode.guessup,Sruthi Murali,Nice game with friends and family,5
pt.cosmicode.guessup,A Google user,It is a very nice game me and my cousin play together and this game is very fun,5
pt.cosmicode.guessup,A Google user,So much fun to play on family game night,5
pt.cosmicode.guessup,Jorge Rondón Ávila,It can record the play. 10/10,5
pt.cosmicode.guessup,Chloie Norton,Keeps saying I have no internet when I clearly do cause I just downloaded it.,1
pt.cosmicode.guessup,A Google user,cannot open the app 😭,1
pt.cosmicode.guessup,A Google user,Such an amazing app. Really fun!,5
pt.cosmicode.guessup,A Google user,great to play with the family,5
pt.cosmicode.guessup,A Google user,Fun game to play with friends,5
pt.cosmicode.guessup,Vedanshi Singh,There is a lot of apps but the rest is good.,4
pt.cosmicode.guessup,A Google user,app was built up based on provocation. There are some conflicted regions that were given as a country.One of them is Karabakh province where belongs to Azerbaijan and occupied by Armenian.,1
pt.cosmicode.guessup,Atal dwivedi III B,Best charades to play in mobile,5
pt.cosmicode.guessup,A Google user,fun for playing in theme park ride lines,5
pt.cosmicode.guessup,Aundrea Huber,Amazingove making my own decks personalized to me and playing with my fam great job guess up creators,5
pt.cosmicode.guessup,A Google user,its a pretty well designed app. would recommend,5
pt.cosmicode.guessup,A Google user,this game is really fun I play it all the time.,5
pt.cosmicode.guessup,A Google user,It doesn't record all the videos,3
pt.cosmicode.guessup,Jaquavion Lemon,Bad connection but its good,3
pt.cosmicode.guessup,Meenal Jain,Noiseeeeee ! I'm loving it ❤,5
pt.cosmicode.guessup,Kameelah Williams,keeps correcting when it's not,3
pt.cosmicode.guessup,Likhona Makhohliso,It is a very fun game and it is tricy,5
pt.cosmicode.guessup,sizakele moleboheng,"The game is good, makes people think on their feet",4
pt.cosmicode.guessup,friska streeter,good game making decks teams good go INSTALL it now¹,5
pt.cosmicode.guessup,Heather Krebs,The game won't open!!,1
pt.cosmicode.guessup,MegaJota007,Took my money but didn't unlock the deck,1
pt.cosmicode.guessup,Matt Guynn,"Ads, ads, ads, and more ads..",1
pt.cosmicode.guessup,A Google user,Having a great time playing that game,5
pt.cosmicode.guessup,Pius Abreu,Very nice and you will not be board,5
pt.cosmicode.guessup,Nchimunya Hamaiko,Amazing just amazing,5
pt.cosmicode.guessup,jean gicos,i really like this game,5
pt.cosmicode.guessup,Soniya Jain,Best app to play with family😘😘😘😘😘,5
pt.cosmicode.guessup,A Google user,its so amazing I love it!!,5
pt.cosmicode.guessup,A Google user,I love it so much . and it was amazing. 😻😻,5
pt.cosmicode.guessup,A Google user,Amazing with lots of topics,5
pt.cosmicode.guessup,Donnette Rowe,it's so awesome I keep on playing it,5
pt.cosmicode.guessup,Jarred Jordon,It won't let me create a a custom deck why won't it let me?,4
pt.cosmicode.guessup,Cat Haliwell . Namaste . BABAd,Thank you... lots of fun,5
pt.cosmicode.guessup,A Google user,VERY FUN GAME! my gf & I love to play this game daily!,5
pt.cosmicode.guessup,K_V_K Plays,This game is very best games in the world,5
pt.cosmicode.guessup,Kevin Weishaar,Good for the whole family,5
pt.cosmicode.guessup,A Google user,The best charades app here!,5
pt.cosmicode.guessup,A Google user,Very awesome I love it!!!,5
pt.cosmicode.guessup,Scott Gosani,nice game I wish stranger things was free,5
pt.cosmicode.guessup,Raveryn,way better than HeadsUp!,5
pt.cosmicode.guessup,Benjamin Thomas,It's a really good game for a birthday party,5
pt.cosmicode.guessup,A Google user,its nice and fun.,1
pt.cosmicode.guessup,Cell,what's with the RESTORE PURCHASE? welcome sign? it's scaring me,4
pt.cosmicode.guessup,A Google user,Very funny indeed,5
pt.cosmicode.guessup,A Google user,Best game in the world,5
pt.cosmicode.guessup,A Google user,best for family game night,5
pt.cosmicode.guessup,Stacey Roberts,This is a realy fun game,5
pt.cosmicode.guessup,A Google user,Interesting and fun,5
pt.cosmicode.guessup,A Google user,best game should download it,5
pt.cosmicode.guessup,A Google user,this game is very very good,5
pt.cosmicode.guessup,Kintija Cabule,I love it so much it is so good,5
pt.cosmicode.guessup,Cassandra Johns,Great for the kids,5
pt.cosmicode.guessup,Moumin bhattacharjee,I just wana say best game wver,5
pt.cosmicode.guessup,EdieYahsdaughter,This App is So Much Fun.,5
pt.cosmicode.guessup,A Google user,Y do u need to access my files to play....,1
pt.cosmicode.guessup,Darcie Gagne,we can't breathe three generations of fun,5
pt.cosmicode.guessup,Amber-rae Barnes,This game is fun,5
pt.cosmicode.guessup,A Google user,Fun ..had a blast with my family,5
pt.cosmicode.guessup,jesca nakibuuka,I really like this game,5
pt.cosmicode.guessup,A Google user,Because the game is all about money,3
pt.cosmicode.guessup,Jasmin Larupay,I will give 5 stars🌟🌟🌟🌟🌟its amazing,5
pt.cosmicode.guessup,A Google user,great to have a good time,5
pt.cosmicode.guessup,A Google user,I loooooooove this app so much,3
pt.cosmicode.guessup,A Google user,thank you for this app,5
pt.cosmicode.guessup,A Google user,I think I'll play this all day 😅,5
pt.cosmicode.guessup,Karen Chiles,Great and I love it,5
pt.cosmicode.guessup,A Google user,Love this game...,5
pt.cosmicode.guessup,A Google user,makes family relationship stronger,5
pt.cosmicode.guessup,erika channel,this app is so fun,5
pt.cosmicode.guessup,Vicky Ramos,Fun family game,5
pt.cosmicode.guessup,A Google user,Very good game,4
pt.cosmicode.guessup,Umaira Ahmed,Very bad game. 👎,1
pt.cosmicode.guessup,Aadhira M,Superb superb superb game😁😁😁😁 😉😉😉😉😉😉😘😘😘😘😘😍😍😍😍,5
pt.cosmicode.guessup,A Google user,playing while learning,5
pt.cosmicode.guessup,A Google user,Won't log in,1
pt.cosmicode.guessup,A Google user,Best game ever,5
pt.cosmicode.guessup,Hunter XnevX,baby at it,5
pt.cosmicode.guessup,Sade,App needs update,4
pt.cosmicode.guessup,A Google user,EXCELLENT TOOL FOR ENGLISH TEACHERS!,5
pt.cosmicode.guessup,Krista Wiley,I is grate when your bored,5
pt.cosmicode.guessup,A Google user,How can an Indian play this game...,4
pt.cosmicode.guessup,Rosario Alejandra Angulo Asurza,Its so fun,3
pt.cosmicode.guessup,Madelynne K,It dose not work,1
pt.cosmicode.guessup,Patience Mavinga,could've done better,4
pt.cosmicode.guessup,Hongoroo,I litterally love im never gonna uninstall it😄😄😄😄♥️♥️♥️♥️♥️,5
pt.cosmicode.guessup,A Google user,very nice hahw,5
pt.cosmicode.guessup,A Google user,I like it.,5
pt.cosmicode.guessup,A Google user,it's good i guess,2
pt.cosmicode.guessup,Chris Johansson,it can't fuxking hear me,2
pt.cosmicode.guessup,A Google user,is so cheap,1
pt.cosmicode.guessup,A Google user,its very good😉😉😊 😋😎😍,5
pt.cosmicode.guessup,Brian Kellar,Fun drinking game,5
pt.cosmicode.guessup,A Google user,More free stuff pls,4
pt.cosmicode.guessup,Aliyah Antonetty,Love the game,5
pt.cosmicode.guessup,A Google user,Very very very very very very very bad apppp,1
